discrimination,difficulty,odin_reference_question_id,version,subject_id
0.23302770351751234,2.8997216545750124,1878370,v1,1
0.4377762768443378,0.4923358909175848,1165145,v1,1
1.317742213989563,-1.0308595181394848,883994,v1,1
0.610299997622335,-0.6990942908115971,543653,v1,1
0.6544608458120821,-2.049452501637793,1839208,v1,1
0.7165209072702563,-1.7257683915017619,883989,v1,1
1.3924909331840585,-0.6673101115565004,375871,v1,1
0.9026054696735252,-0.884418240503362,375872,v1,1
0.26299576975465483,0.867839699538246,1286415,v1,1
1.1143100274500901,-0.4134434306986419,178117,v1,1
1.376089797433555,-0.5047136234191656,1869366,v1,1
0.2189717625863458,-3.4479277857341084,482568,v1,1
0.8768613170948792,0.4139101536213082,375874,v1,1
1.784607292220762,1.0844526993310297,255406,v1,1
1.32258898238203,-0.8294190244714432,1155565,v1,1
1.2352950967473602,-1.316246342067389,375886,v1,1
0.5602052082344968,0.8298382661426499,1064259,v1,1
0.2548149468703173,-4.663226356920613,425505,v1,1
0.8742811727137184,-1.3911067900591463,1087550,v1,1
0.47476978358342387,-0.724943799132663,234421,v1,1
0.01465239171833881,-26.44170965824192,1082960,v1,1
0.6106977620147458,-1.1578992807189146,1080592,v1,1
0.6463802604686415,-0.5088529475241946,1200344,v1,1
0.5082756694896158,1.2648945407864822,618218,v1,1
0.4852406439898271,-0.4932751090039519,2566570,v1,1
0.5456674833221323,-0.5629592831794588,824860,v1,1
1.6065255840516466,-0.6700358520386455,424276,v1,1
0.4445556695506469,-1.6904452810973403,1293870,v1,1
0.23902303728534796,-3.8856138201936106,400894,v1,1
0.7294025817548622,-0.1492655379221885,1059980,v1,1
0.008981401616286936,-98.70918123636521,1026163,v1,1
1.2465242625476336,-0.7967592025379711,601561,v1,1
1.1122473416985639,-0.4076158307435091,983866,v1,1
0.490311125151867,-2.0741066671994663,1059944,v1,1
0.2294167816140489,-4.331837054303798,946241,v1,1
0.44900030722225964,-1.662931468573114,1059962,v1,1
0.5134147080116594,0.631327082509732,732295,v1,1
0.33210675557870145,-0.5206053152012381,465362,v1,1
2.2247457781876157,-0.40927156660120856,379995,v1,1
0.40293440690248544,1.8174002736496768,390161,v1,1
0.8005353711742376,0.8280502806330619,820701,v1,1
0.806184175108884,0.9899225050664925,141043,v1,1
